Density,WDH,SVIH,BCH,A20H
0.05,0.007714286,0.005625,0.005806452,0.005806452
0.1,0.018971722,0.015828877,0.012071856,0.012058175
0.05,0.034621149,0.022198391,0.054016537,0.058260841
0.15,0.010028571,0.00588785,0.006363636,0.006428571
0.2,0.00791623,0.005,0.005837838,0.007015385
0.1,0.016240602,0.011201044,0.029497494,0.037013498
0.05,0.102944754,0.050255474,0.556895105,0.580386566
0.15,0.014228013,0.008571429,0.019046512,0.019744133
0.05,0.099296094,0.057129423,0.420094346,0.441321026
0.1,0.022385204,0.015418605,0.087165171,0.119116025
0.2,0.015564033,0.007304348,0.014896552,0.015906977
0.15,0.02246912,0.011647059,0.029048276,0.030904615
0.1,0.029598844,0.016080605,0.350977273,0.379956335
0.2,0.019029851,0.011775701,0.032298975,0.034400291
0.15,0.025553011,0.015652174,0.081247084,0.086707466
0.2,0.024894391,0.014651163,0.05664518,0.062940659
